vaccine,sex,age_start,deathPerInfect,hospitalPerInfect,vacReduceDeath,vacReduceHosp
0,female,0,4.70E-06,0.0344038,,
0,male,0,1.00E-05,0.0294117,,
0,female,5,4.70E-06,0.0344038,,
0,male,5,1.00E-05,0.0294117,,
0,female,10,2.00E-05,0.0141207,,
0,male,10,4.40E-05,0.0068337,,
0,female,15,2.00E-05,0.0141207,,
0,male,15,4.40E-05,0.0068337,,
0,female,20,7.60E-05,0.0372608,,
0,male,20,0.00016,0.0209753,,
0,female,25,7.60E-05,0.0372608,,
0,male,25,0.00016,0.0209753,,
0,female,30,0.0003,0.0534352,,
0,male,30,0.0006,0.0330351,,
0,female,35,0.0003,0.0534352,,
0,male,35,0.0006,0.0330351,,
0,female,40,0.0012,0.0702406,,
0,male,40,0.0026,0.0870427,,
0,female,45,0.0012,0.0702406,,
0,male,45,0.0026,0.0870427,,
0,female,50,0.0047,0.1048303,,
0,male,50,0.0107,0.1552138,,
0,female,55,0.0047,0.1048303,,
0,male,55,0.0107,0.1552138,,
0,female,60,0.0111,0.2107202,,
0,male,60,0.0348,0.2702706,,
0,female,65,0.0111,0.2107202,,
0,male,65,0.0348,0.2702706,,
0,female,70,0.1036,0.4378703,,
0,male,70,0.1742,0.4450405,,
0,female,75,0.1036,0.4378703,,
0,male,75,0.1742,0.4450405,,
0,female,80,0.2895,0.5526318,,
0,male,80,0.4085,0.6339871,,
0,female,85,0.2895,0.5526318,,
0,male,85,0.4085,0.6339871,,
0,female,90,0.3516,0.4540674,,
0,male,90,0.5232,0.5894035,,
0,female,95,0.3516,0.4540674,,
0,male,95,0.5232,0.5894035,,
0,female,100,0.3516,0.4540674,,
0,male,100,0.5232,0.5894035,,
0,female,105,0.3516,0.4540674,,
0,male,105,0.5232,0.5894035,,
1,female,0,0.00000047,0.00516057,0.9,0.85
1,male,0,0.000001,0.004411755,0.9,0.85
1,female,5,0.00000047,0.00516057,0.9,0.85
1,male,5,0.000001,0.004411755,0.9,0.85
1,female,10,0.000002,0.002118105,0.9,0.85
1,male,10,0.0000044,0.001025055,0.9,0.85
1,female,15,0.000002,0.002118105,0.9,0.85
1,male,15,0.0000044,0.001025055,0.9,0.85
1,female,20,0.0000076,0.00558912,0.9,0.85
1,male,20,0.000016,0.003146295,0.9,0.85
1,female,25,0.0000076,0.00558912,0.9,0.85
1,male,25,0.000016,0.003146295,0.9,0.85
1,female,30,0.00003,0.00801528,0.9,0.85
1,male,30,0.00006,0.004955265,0.9,0.85
1,female,35,0.00003,0.00801528,0.9,0.85
1,male,35,0.00006,0.004955265,0.9,0.85
1,female,40,0.00012,0.01053609,0.9,0.85
1,male,40,0.00026,0.013056405,0.9,0.85
1,female,45,0.00012,0.01053609,0.9,0.85
1,male,45,0.00026,0.013056405,0.9,0.85
1,female,50,0.00047,0.015724545,0.9,0.85
1,male,50,0.00107,0.02328207,0.9,0.85
1,female,55,0.0005875,0.02096606,0.875,0.8
1,male,55,0.0013375,0.03104276,0.875,0.8
1,female,60,0.0013875,0.04214404,0.875,0.8
1,male,60,0.00435,0.05405412,0.875,0.8
1,female,65,0.0013875,0.04214404,0.875,0.8
1,male,65,0.00435,0.05405412,0.875,0.8
1,female,70,0.01295,0.08757406,0.875,0.8
1,male,70,0.021775,0.0890081,0.875,0.8
1,female,75,0.01295,0.08757406,0.875,0.8
1,male,75,0.021775,0.0890081,0.875,0.8
1,female,80,0.0361875,0.11052636,0.875,0.8
1,male,80,0.0510625,0.12679742,0.875,0.8
1,female,85,0.0361875,0.11052636,0.875,0.8
1,male,85,0.0510625,0.12679742,0.875,0.8
1,female,90,0.04395,0.09081348,0.875,0.8
1,male,90,0.0654,0.1178807,0.875,0.8
1,female,95,0.04395,0.09081348,0.875,0.8
1,male,95,0.0654,0.1178807,0.875,0.8
1,female,100,0.04395,0.09081348,0.875,0.8
1,male,100,0.0654,0.1178807,0.875,0.8
1,female,105,0.04395,0.09081348,0.875,0.8
1,male,105,0.0654,0.1178807,0.875,0.8
